Id,Maxspeed
w28684909,50
w28685896,30
w28685919,60
w28693767,30
w28717584,30
w28717588,30
w28717591,30
w28717595,30
w28717599,30
w28717604,30
w28717607,30
w28717610,30
w28717624,30
w28717627,30
w28717630,30
w28717632,30
w28717635,30
w28717638,30
w28717658,20
w28717665,30
w28717667,30
w28717670,30
w28717793,30
w28717828,30
w28717834,30
w28717846,50
w28717869,50
w28718193,50
w28724319,40
w28724322,40
w28762710,30
w28762740,50
w28790794,50
w28790795,50
w28790797,30
w28790798,50
w28790799,50
w28790801,50
w28791147,30
w28791151,30
w28791162,50
w28791561,30
w28791563,30
w28791564,30
w28791730,30
w28792009,40
w28792016,90
w28792017,90
w28792019,90
w28792020,90
w28792021,40
w28792052,90
w28792053,90
w28792055,90
w28792175,40
w28792176,50
w28792608,90
w28792609,90
w28792610,90
w28792611,90
w28796821,30
w28796830,30
w28883664,30
w28883666,50
w28921256,70
w28921257,70
w28921520,90
w28921522,90
w28921523,90
w28921525,90
w28921528,30
w28921530,30
w28921531,30
w28921804,30
w29086691,40
w29086694,40
w29086695,40
w29086696,50
w29086697,30
w29087264,40
w29087265,40
w29087267,40
w29087269,40
w29087270,40
w29087271,40
w29087505,40
w29091156,40
w29091157,30
w29091159,40
w29091161,30
w29091212,50
w29091214,50
w29091628,40
w29091630,30
w29091801,50
w29091802,30
w29091806,40
w29091807,40
w29091808,40
w29092300,40
w29092301,30
w29092302,40
w29092304,90
w29092307,90
w29092308,90
w29092310,40
w29092311,40
w29092312,40
w29092313,40
w29092314,40
w29092366,40
w29092367,40
w29092368,40
w29092369,40
w29092660,40
w29092661,40
w29092662,50
w29092663,50
w29093034,50
w29093035,30
w29093036,40
w29093037,50
w29093038,30
w29093151,30
w29093154,50
w29093155,50
w29093156,40
w29139996,40
w29176650,40
w29187723,30
w29191963,40
w29222894,40
w29222895,40
w29222896,50
w29222897,40
w29222898,40
w29281815,40
w29281816,50
w29281817,40
w29281819,50
w29316708,30
w29316802,50
w29316823,30
w29317549,50
w29317557,30
w29317593,30
w29317862,30
w29338288,30
w29338290,30
w29340132,30
w29340148,30
w29340153,30
w29340193,30
w29342192,30
w29342193,30
w29342196,30
w29342198,30
w29342199,30
w29342202,30
w29342204,30
w29342228,30
w29342230,30
w29342232,30
w29343112,40
w29362716,40
w29362749,40
w29362814,40
w29390846,50
w29921890,50
w29925869,40
w29926074,40
w29926520,40
w29926932,40
w29927953,30
w29928025,30
w29928132,30
w29928958,20
w29929292,50
w29929397,30
w29929663,40
w29929720,30
w29929777,50
w29929811,30
w29975372,50
w29975377,30
w29975379,30
w29975382,30
w29975383,50
w29975384,50
w29975385,50
w29975386,50
w29975387,30
w29975400,30
w29975444,50
w29975542,30
w29975543,30
w29976465,50
w29976482,20
w29976504,30
w29976859,30
w29976860,30
w29980613,50
w29980616,40
w29980620,30
w29980621,40
w29980622,30
w29980623,30
w29980624,40
w29980626,50
w29980630,50
w29980631,50
w29980634,50
w29980635,50
w29980636,50
