Id,Data,Abitato,Tipo,Caratteris,Asciutto,Pavimentaz,Meteo,Traffico,DanniCose,Lesioni,Ora,Minuto,Strada,NearestX,NearestY,Quartiere,FasciaOraria,Strada_FullId,Strada_Highway,Strada_Name,Strada_Oneway,Strada_Maxspeed,Strada_Lanes,Strada_Length,Quartiere_Id,Quartiere_Nome,Quartiere_Area,Quartiere_Pop2011,Quartiere_Densita
598,26/03/2022,1,Strada urbana,Incrocio,1,Asfaltata,Sereno,Normale,0,1,14,15,w27534619,16.8133874434015,41.1388887432329,10,pomeriggio,w27534619,residential,Via Domenico Cimarosa,1,40.30221991197471,1,413.3647646686704,10,X  - MARCONI - SAN GIROLAMO - FESCA,5256128.527567743,15524,2953.5046410259074
599,26/03/2022,1,Strada urbana,Rettilineo,1,Asfaltata,Sereno,Intenso,0,0,19,50,w24889060,16.8726726067226,41.1228192333517,2,sera,w24889060,tertiary,Corso Cavour,1,55.63033254141414,1,104.47419651201437,2,II - MURAT,1463167.9327545944,21115,14431.016103700691
600,27/03/2022,1,Strada urbana,Intersezione stradale segnalata,1,Asfaltata,Sereno,Normale,0,0,0,0,w87270543,16.8649200487339,41.10247115313,8,notte,w87270543,residential,Via Papa Innocenzo XII,0,40.30221991197471,1,405.1794106210938,8,VIII - PICONE,14850561.50670115,39116,2633.974478496947
601,27/03/2022,0,Provinciale,Rettilineo,1,Asfaltata,Sereno,Scarso,0,0,0,0,w93676469,16.7670774098356,41.1422448625345,12,notte,w93676469,tertiary,SP 210 Perimetrale Aeroporto di Palese,0,50.0,1,3008.7009137980394,12,XII - PALESE - MACCHIE,9896021.478098463,13980,1412.6889306920016
602,27/03/2022,1,Strada urbana,Rettilineo,1,Asfaltata,Sereno,Scarso,0,0,3,50,w50835373,16.8675551354356,41.1000656370576,7,notte,w50835373,service,w50835373,0,31.072739693401605,1,136.4527514405025,7,VII - CARRASSI,3050551.522896136,33902,11113.40023125198
603,27/03/2022,1,Strada urbana,Curva a visuale libera,1,Asfaltata,Sereno,Scarso,0,1,12,55,w28790799,16.8342109599517,41.1007916545172,8,pomeriggio,w28790799,tertiary,Strada Santa Caterina,1,50.0,2,314.8700192300854,8,VIII - PICONE,14850561.50670115,39116,2633.974478496947
604,27/03/2022,1,Strada urbana,Rettilineo,1,Asfaltata,Sereno,Scarso,0,0,13,20,w24884257,16.8737332774508,41.1218510553642,2,pomeriggio,w24884257,secondary,Via Nicola de Giosa,1,51.70714492631247,1,347.79792443383343,2,II - MURAT,1463167.9327545944,21115,14431.016103700691
605,27/03/2022,1,Strada urbana,Intersezione semaforizzata,1,Asfaltata,Sereno,Normale,0,0,18,40,w628162106,16.8443405038452,41.1340090252232,10,sera,w628162106,tertiary,Viale Vittorio Emanuele Orlando,1,55.63033254141414,1,262.37836104080156,10,X  - MARCONI - SAN GIROLAMO - FESCA,5256128.527567743,15524,2953.5046410259074
606,27/03/2022,1,Strada urbana,Rettilineo,1,Asfaltata,Nuvoloso,Normale,0,1,22,40,w25585815,16.8781246320131,41.1173682749002,6,sera,w25585815,secondary,Via Giovanni Amendola,1,51.70714492631247,2,460.0014702269089,6,VI - SAN PASQUALE,4061361.9191378583,19587,4822.766448787186
607,28/03/2022,1,Strada urbana,Incrocio,0,Asfaltata,Nuvoloso,Intenso,0,0,7,20,w25654689,16.8511811608937,41.1142988692119,8,mattina,w25654689,secondary,Via Giuseppe Sangiorgi,1,51.70714492631247,2,155.22857434218952,8,VIII - PICONE,14850561.50670115,39116,2633.974478496947
608,28/03/2022,1,Strada urbana,Intersezione semaforizzata,0,Asfaltata,Pioggia in atto,Normale,0,0,10,35,w1274596356,16.8719906213353,41.1171603478773,2,mattina,w1274596356,secondary,Via Giuseppe Capruzzi,0,51.70714492631247,2,131.16189323429464,2,II - MURAT,1463167.9327545944,21115,14431.016103700691
609,28/03/2022,1,Strada urbana,Rettilineo,0,Asfaltata,Pioggia in atto,Normale,0,1,11,50,w27535688,16.8361012936096,41.1287088542329,10,mattina,w27535688,secondary,Via Napoli,0,51.70714492631247,1,587.547025942115,10,X  - MARCONI - SAN GIROLAMO - FESCA,5256128.527567743,15524,2953.5046410259074
610,28/03/2022,1,Strada urbana,Intersezione stradale segnalata,0,Asfaltata,Pioggia in atto,Normale,0,1,13,20,w146008555,16.8633227992564,41.1130398688072,8,pomeriggio,w146008555,residential,Via Ettore Carafa,1,40.30221991197471,1,154.15794601203658,8,VIII - PICONE,14850561.50670115,39116,2633.974478496947
